batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,13.379028,19.38113
0,mae,0,0.075,15.279079,19.221359
0,mae,0,0.1,17.020071,18.840986
0,mae,0,0.15,17.593405,18.838108
0,mse,0,0.05,14.056303,25.724148
0,mse,0,0.075,17.059719,25.43516
0,mse,0,0.1,20.776226,24.425316
0,mse,0,0.15,20.20509,24.559837
0,mae,1,0.05,12.462492,19.835373
0,mae,1,0.075,14.1,18.724449
0,mae,1,0.1,17.076897,18.357126
0,mae,1,0.15,18.36602,17.751177
0,mse,1,0.05,13.21463,27.749109
0,mse,1,0.075,15.052149,25.683918
0,mse,1,0.1,19.193596,24.448524
0,mse,1,0.15,21.327435,23.009521
0,mae,2,0.05,13.189119,20.017784
0,mae,2,0.075,14.542569,19.685356
0,mae,2,0.1,16.428349,18.555351
0,mae,2,0.15,18.680769,17.389149
0,mse,2,0.05,14.871165,28.071712
0,mse,2,0.075,15.979408,27.285755
0,mse,2,0.1,18.846638,25.010017
0,mse,2,0.15,22.742516,23.012138
0,mae,3,0.05,11.938005,20.438112
0,mae,3,0.075,14.328234,19.723969
0,mae,3,0.1,15.664917,19.073891
0,mae,3,0.15,18.43778,18.225105
0,mse,3,0.05,12.567034,28.314058
0,mse,3,0.075,15.740977,27.09845
0,mse,3,0.1,17.547825,25.501228
0,mse,3,0.15,22.605156,24.174706
0,mae,4,0.05,11.793797,19.699596
0,mae,4,0.075,13.996778,19.957144
0,mae,4,0.1,16.041807,19.509598
0,mae,4,0.15,17.26318,17.931931
0,mse,4,0.05,11.626164,27.413811
0,mse,4,0.075,13.913759,27.902418
0,mse,4,0.1,17.980564,26.491648
0,mse,4,0.15,20.365501,22.976986
0,mae,5,0.05,11.999883,19.101906
0,mae,5,0.075,14.851727,19.722727
0,mae,5,0.1,15.825018,19.116602
0,mae,5,0.15,16.975536,18.608898
0,mse,5,0.05,11.870088,25.506046
0,mse,5,0.075,16.246136,26.706112
0,mse,5,0.1,17.549957,25.5665
0,mse,5,0.15,19.309038,24.231533
0,mae,6,0.05,10.847013,20.242744
0,mae,6,0.075,13.663271,21.014463
0,mae,6,0.1,15.407016,19.589033
0,mae,6,0.15,17.886837,17.762365
0,mse,6,0.05,9.323914,27.066505
0,mse,6,0.075,13.721459,30.035341
0,mse,6,0.1,17.028717,26.201321
0,mse,6,0.15,21.356512,22.850842
0,mae,7,0.05,10.93881,19.542015
0,mae,7,0.075,13.390076,19.659666
0,mae,7,0.1,14.95853,19.119587
0,mae,7,0.15,16.955404,17.941853
0,mse,7,0.05,10.288902,25.977459
0,mse,7,0.075,12.574484,26.942432
0,mse,7,0.1,15.495671,24.873335
0,mse,7,0.15,18.907965,22.662527
0,mae,8,0.05,10.592806,19.90531
0,mae,8,0.075,13.885835,19.522388
0,mae,8,0.1,15.764182,19.197178
0,mae,8,0.15,17.272224,17.355442
0,mse,8,0.05,9.575733,26.986465
0,mse,8,0.075,14.398772,26.418909
0,mse,8,0.1,17.612829,25.602863
0,mse,8,0.15,19.460508,21.336464
0,mae,9,0.05,9.933128,20.523115
0,mae,9,0.075,13.337854,21.066227
0,mae,9,0.1,15.145889,20.067774
0,mae,9,0.15,17.357746,18.534111
0,mse,9,0.05,8.556149,28.344727
0,mse,9,0.075,15.019135,28.99128
0,mse,9,0.1,16.416439,25.637089
0,mse,9,0.15,19.301022,23.2439
0,mae,10,0.05,11.012315,21.315952
0,mae,10,0.075,13.933647,21.28299
0,mae,10,0.1,15.988116,20.64296
0,mae,10,0.15,17.678091,19.10553
0,mse,10,0.05,9.711465,30.452642
0,mse,10,0.075,16.140553,29.590427
0,mse,10,0.1,18.684578,28.391865
0,mse,10,0.15,20.625282,23.877537
0,mae,11,0.05,12.460472,20.355049
0,mae,11,0.075,15.281724,20.707962
0,mae,11,0.1,15.908,19.756607
0,mae,11,0.15,17.472956,18.174969
0,mse,11,0.05,12.358337,27.207451
0,mse,11,0.075,16.436859,28.577976
0,mse,11,0.1,17.596642,25.626036
0,mse,11,0.15,19.967079,20.925098
0,mae,12,0.05,11.986095,20.503944
0,mae,12,0.075,13.79047,19.512028
0,mae,12,0.1,15.804869,19.33321
0,mae,12,0.15,17.796618,17.699757
0,mse,12,0.05,12.458732,28.147995
0,mse,12,0.075,15.455891,26.316107
0,mse,12,0.1,18.541285,25.310263
0,mse,12,0.15,20.143654,21.108105
0,mae,13,0.05,11.555552,19.768585
0,mae,13,0.075,12.973548,20.197626
0,mae,13,0.1,15.431499,19.821644
0,mae,13,0.15,17.539618,18.030973
0,mse,13,0.05,12.586169,26.930714
0,mse,13,0.075,14.415665,27.519157
0,mse,13,0.1,17.763451,26.61832
0,mse,13,0.15,19.502922,22.572365
0,mae,14,0.05,12.268965,20.191109
0,mae,14,0.075,13.217546,19.522526
0,mae,14,0.1,15.430588,19.268522
0,mae,14,0.15,16.148449,17.589785
0,mse,14,0.05,14.841536,27.289438
