batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,12.092586,29.095816
0,mae,0,0.075,12.765067,30.921387
0,mae,0,0.1,13.11767,32.198605
0,mae,0,0.15,15.23805,34.309944
0,mse,0,0.05,11.885906,51.565735
0,mse,0,0.075,11.902906,56.588585
0,mse,0,0.1,12.786722,60.166676
0,mse,0,0.15,16.518288,64.118744
0,mae,1,0.05,11.53645,30.006598
0,mae,1,0.075,12.119725,31.545572
0,mae,1,0.1,12.522989,32.513847
0,mae,1,0.15,13.312896,34.06488
0,mse,1,0.05,9.324349,54.023094
0,mse,1,0.075,10.809958,57.698318
0,mse,1,0.1,11.914628,60.414341
0,mse,1,0.15,12.779531,63.479111
0,mae,2,0.05,11.558722,30.617878
0,mae,2,0.075,12.959433,32.725388
0,mae,2,0.1,13.860667,33.661289
0,mae,2,0.15,14.947268,35.753105
0,mse,2,0.05,9.476628,56.389988
0,mse,2,0.075,12.274569,61.96307
0,mse,2,0.1,13.767977,64.847992
0,mse,2,0.15,15.543211,70.692932
0,mae,3,0.05,11.342461,31.13624
0,mae,3,0.075,12.790553,32.937534
0,mae,3,0.1,13.568371,34.559811
0,mae,3,0.15,14.978094,36.025448
0,mse,3,0.05,9.089546,58.361656
0,mse,3,0.075,11.594602,62.132832
0,mse,3,0.1,12.939364,66.72805
0,mse,3,0.15,15.127844,70.506157
0,mae,4,0.05,11.400309,31.847956
0,mae,4,0.075,12.233326,33.769722
0,mae,4,0.1,12.697569,35.017014
0,mae,4,0.15,14.294073,36.625191
0,mse,4,0.05,9.263042,60.792675
0,mse,4,0.075,10.576939,65.296295
0,mse,4,0.1,11.58139,67.867142
0,mse,4,0.15,13.76796,72.282715
0,mae,5,0.05,10.164572,31.968864
0,mae,5,0.075,11.472544,33.915115
0,mae,5,0.1,11.714962,35.710556
0,mae,5,0.15,12.652441,36.621815
0,mse,5,0.05,7.374136,60.674232
0,mse,5,0.075,9.709128,65.239189
0,mse,5,0.1,9.927896,70.696259
0,mse,5,0.15,11.467833,72.185547
0,mae,6,0.05,9.552689,32.606396
0,mae,6,0.075,10.629871,34.5145
0,mae,6,0.1,11.076584,35.614227
0,mae,6,0.15,12.483571,37.302994
0,mse,6,0.05,6.860403,62.455688
0,mse,6,0.075,8.156841,67.911385
0,mse,6,0.1,9.079788,71.302673
0,mse,6,0.15,11.344599,75.845459
0,mae,7,0.05,9.35964,32.312149
0,mae,7,0.075,10.391617,34.380867
0,mae,7,0.1,11.19179,35.801323
0,mae,7,0.15,12.128918,37.209564
0,mse,7,0.05,6.556355,61.567535
0,mse,7,0.075,8.125813,68.372055
0,mse,7,0.1,9.414408,71.756775
0,mse,7,0.15,11.105408,75.103065
0,mae,8,0.05,9.763008,32.589577
0,mae,8,0.075,10.44022,33.872643
0,mae,8,0.1,10.938443,35.40863
0,mae,8,0.15,11.905451,37.002262
0,mse,8,0.05,7.178281,62.072792
0,mse,8,0.075,8.122984,66.78244
0,mse,8,0.1,9.481413,71.875282
0,mse,8,0.15,10.664992,75.888748
0,mae,9,0.05,9.300982,32.399887
0,mae,9,0.075,10.205431,34.210194
0,mae,9,0.1,10.655981,35.265968
0,mae,9,0.15,11.145046,36.190784
0,mse,9,0.05,6.608733,61.040009
0,mse,9,0.075,7.784594,67.567772
0,mse,9,0.1,8.529701,71.567627
0,mse,9,0.15,9.206089,74.14299
0,mae,10,0.05,8.491754,33.104576
0,mae,10,0.075,9.714739,34.008709
0,mae,10,0.1,10.474792,35.52597
0,mae,10,0.15,11.246628,35.565712
0,mse,10,0.05,5.593653,62.367073
0,mse,10,0.075,6.884023,65.453491
0,mse,10,0.1,7.939278,71.258537
0,mse,10,0.15,9.190937,71.054886
0,mae,11,0.05,8.533487,32.235764
0,mae,11,0.075,9.065372,33.70084
0,mae,11,0.1,9.743582,34.649654
0,mae,11,0.15,10.807404,34.703636
0,mse,11,0.05,5.385078,61.302368
0,mse,11,0.075,6.163171,65.446014
0,mse,11,0.1,6.979965,68.165558
0,mse,11,0.15,8.106069,68.030716
0,mae,12,0.05,9.116402,33.2733
0,mae,12,0.075,10.008089,34.559303
0,mae,12,0.1,10.303328,35.642429
0,mae,12,0.15,10.647873,35.896751
0,mse,12,0.05,6.691506,64.129662
0,mse,12,0.075,7.45122,68.418442
0,mse,12,0.1,7.832695,71.906021
0,mse,12,0.15,8.553268,72.846909
0,mae,13,0.05,9.042412,34.12492
0,mae,13,0.075,10.210857,35.129082
0,mae,13,0.1,10.336214,36.024521
0,mae,13,0.15,11.076136,36.705925
0,mse,13,0.05,6.680544,66.49778
0,mse,13,0.075,8.225596,70.154167
0,mse,13,0.1,8.624484,73.25808
0,mse,13,0.15,9.199942,76.186584
0,mae,14,0.05,9.638964,32.749252
0,mae,14,0.075,10.231887,34.192497
0,mae,14,0.1,10.702874,35.01088
0,mae,14,0.15,11.850302,35.644749
0,mse,14,0.05,7.738109,61.23848
0,mse,14,0.075,8.633606,66.218559
0,mse,14,0.1,9.059511,69.793129
