batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,18.580982,18.733046
0,mae,0,0.075,19.972342,17.486389
0,mae,0,0.1,20.450336,15.814105
0,mae,0,0.15,20.69791,13.645732
0,mse,0,0.05,20.90848,21.413975
0,mse,0,0.075,24.853558,18.806152
0,mse,0,0.1,25.135408,15.852701
0,mse,0,0.15,26.603226,12.271719
0,mae,1,0.05,18.446892,17.53281
0,mae,1,0.075,20.252453,15.709751
0,mae,1,0.1,19.721067,14.373996
0,mae,1,0.15,19.842592,12.911378
0,mse,1,0.05,21.172394,18.732964
0,mse,1,0.075,24.902039,16.037754
0,mse,1,0.1,23.676842,13.573244
0,mse,1,0.15,23.688299,10.862429
0,mae,2,0.05,18.454996,16.373014
0,mae,2,0.075,18.944635,15.119534
0,mae,2,0.1,18.40543,13.864382
0,mae,2,0.15,18.993837,12.14122
0,mse,2,0.05,22.596638,17.227119
0,mse,2,0.075,22.568584,14.989806
0,mse,2,0.1,21.326286,13.296945
0,mse,2,0.15,23.010616,10.318821
0,mae,3,0.05,18.05526,16.367134
0,mae,3,0.075,18.835058,15.201492
0,mae,3,0.1,19.00388,14.510962
0,mae,3,0.15,18.486439,13.299318
0,mse,3,0.05,21.531425,17.398952
0,mse,3,0.075,22.873745,15.157037
0,mse,3,0.1,23.19371,13.805586
0,mse,3,0.15,22.107746,11.980131
0,mae,4,0.05,17.608509,17.319227
0,mae,4,0.075,18.387802,16.168095
0,mae,4,0.1,18.22249,15.174341
0,mae,4,0.15,19.904819,13.440779
0,mse,4,0.05,20.384319,18.996964
0,mse,4,0.075,22.444702,16.736624
0,mse,4,0.1,22.588081,14.595196
0,mse,4,0.15,25.791454,11.996079
0,mae,5,0.05,16.690937,17.000931
0,mae,5,0.075,17.286034,16.266705
0,mae,5,0.1,18.945797,15.330406
0,mae,5,0.15,19.340797,13.562761
0,mse,5,0.05,18.061598,18.266384
0,mse,5,0.075,20.285736,16.63797
0,mse,5,0.1,24.921772,14.530532
0,mse,5,0.15,25.041817,11.936871
0,mae,6,0.05,17.794275,16.736242
0,mae,6,0.075,18.313675,17.141895
0,mae,6,0.1,18.763897,16.051785
0,mae,6,0.15,20.014877,14.772977
0,mse,6,0.05,21.643824,18.103977
0,mse,6,0.075,21.668842,18.150587
0,mse,6,0.1,23.599228,16.247923
0,mse,6,0.15,26.980976,15.144081
0,mae,7,0.05,18.440758,15.711514
0,mae,7,0.075,18.649986,15.265141
0,mae,7,0.1,19.086514,15.382702
0,mae,7,0.15,20.046616,14.545349
0,mse,7,0.05,21.458538,16.246571
0,mse,7,0.075,22.172859,15.873198
0,mse,7,0.1,24.278257,15.435742
0,mse,7,0.15,27.549004,13.834825
0,mae,8,0.05,17.402931,14.822064
0,mae,8,0.075,19.776093,14.089803
0,mae,8,0.1,20.666203,14.23995
0,mae,8,0.15,21.418753,13.688906
0,mse,8,0.05,19.587805,14.507372
0,mse,8,0.075,24.348221,13.538866
0,mse,8,0.1,26.57065,14.321873
0,mse,8,0.15,29.897697,13.809016
0,mae,9,0.05,18.37553,15.246903
0,mae,9,0.075,20.008944,14.661449
0,mae,9,0.1,22.123093,14.482401
0,mae,9,0.15,22.421455,12.429155
0,mse,9,0.05,21.953478,15.207208
0,mse,9,0.075,24.581566,14.504974
0,mse,9,0.1,29.759398,14.003805
0,mse,9,0.15,31.645401,11.108393
0,mae,10,0.05,17.242989,16.545635
0,mae,10,0.075,19.307968,14.813869
0,mae,10,0.1,21.188181,13.834902
0,mae,10,0.15,22.256163,13.422834
0,mse,10,0.05,19.205105,17.396406
0,mse,10,0.075,23.68055,14.539772
0,mse,10,0.1,28.307281,13.198641
