batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,18.439381,18.843733
0,mae,0,0.075,19.709293,18.360275
0,mae,0,0.1,20.00906,16.93206
0,mae,0,0.15,19.519083,14.718947
0,mse,0,0.05,24.144375,22.219547
0,mse,0,0.075,26.771477,21.331694
0,mse,0,0.1,27.728344,18.796478
0,mse,0,0.15,28.767666,13.746164
0,mae,1,0.05,19.218662,18.623753
0,mae,1,0.075,19.377111,17.374964
0,mae,1,0.1,19.441191,16.730289
0,mae,1,0.15,20.441809,15.553555
0,mse,1,0.05,25.175335,21.331997
0,mse,1,0.075,26.331387,18.930468
0,mse,1,0.1,26.378529,17.812721
0,mse,1,0.15,28.373667,15.844255
0,mae,2,0.05,17.969988,17.744835
0,mae,2,0.075,18.601595,16.460506
0,mae,2,0.1,18.766397,15.548622
0,mae,2,0.15,20.130016,14.054984
0,mse,2,0.05,22.574085,20.30131
0,mse,2,0.075,23.597698,17.246197
0,mse,2,0.1,23.491522,16.081142
0,mse,2,0.15,27.017698,14.14012
0,mae,3,0.05,18.581972,17.894066
0,mae,3,0.075,17.285049,16.016312
0,mae,3,0.1,18.766701,15.145571
0,mae,3,0.15,18.634043,14.259995
0,mse,3,0.05,23.650574,19.774633
0,mse,3,0.075,21.462387,16.524864
0,mse,3,0.1,23.158646,15.014162
0,mse,3,0.15,22.944939,13.42626
0,mae,4,0.05,16.87886,18.148651
0,mae,4,0.075,17.643929,17.16621
0,mae,4,0.1,18.480766,16.440443
0,mae,4,0.15,18.748999,14.581807
0,mse,4,0.05,19.633701,19.885424
0,mse,4,0.075,21.740431,18.589216
0,mse,4,0.1,23.38699,17.347298
0,mse,4,0.15,23.591602,13.705509
0,mae,5,0.05,16.921505,18.06703
0,mae,5,0.075,17.638142,17.960348
0,mae,5,0.1,17.843643,17.146416
0,mae,5,0.15,18.441435,15.416741
0,mse,5,0.05,19.702091,19.808086
0,mse,5,0.075,20.885067,20.420898
0,mse,5,0.1,20.805964,18.707346
0,mse,5,0.15,22.219246,14.918881
0,mae,6,0.05,18.473339,18.338194
0,mae,6,0.075,18.656767,17.874176
0,mae,6,0.1,19.055079,16.899225
0,mae,6,0.15,20.098633,15.339305
0,mse,6,0.05,22.389645,20.586536
0,mse,6,0.075,22.66338,19.476925
0,mse,6,0.1,22.950184,18.309355
0,mse,6,0.15,25.248665,15.549072
0,mae,7,0.05,18.743979,18.381012
0,mae,7,0.075,19.838581,18.218582
0,mae,7,0.1,20.04748,17.445339
0,mae,7,0.15,20.571877,16.275372
0,mse,7,0.05,21.845901,20.517557
0,mse,7,0.075,24.400707,21.195904
0,mse,7,0.1,25.208624,19.622559
0,mse,7,0.15,25.891476,17.496677
0,mae,8,0.05,18.8046,17.618267
0,mae,8,0.075,19.048027,16.481674
0,mae,8,0.1,18.773075,16.005053
0,mae,8,0.15,19.030689,14.304514
0,mse,8,0.05,21.861208,19.50193
0,mse,8,0.075,23.048119,17.530516
0,mse,8,0.1,23.003941,16.693527
0,mse,8,0.15,23.493633,13.520842
0,mae,9,0.05,18.90711,17.30864
0,mae,9,0.075,20.08884,16.476517
0,mae,9,0.1,20.33416,15.375328
0,mae,9,0.15,20.284838,14.062906
0,mse,9,0.05,22.379341,18.485714
0,mse,9,0.075,24.488403,17.547634
0,mse,9,0.1,26.347509,15.826271
0,mse,9,0.15,26.453863,13.834639
0,mae,10,0.05,19.043755,17.042324
0,mae,10,0.075,19.877504,16.209576
0,mae,10,0.1,19.541901,15.393823
0,mae,10,0.15,20.716749,13.514597
0,mse,10,0.05,23.699615,18.058559
0,mse,10,0.075,25.377068,17.033363
0,mse,10,0.1,25.2696,15.308765
0,mse,10,0.15,28.612652,12.178774
0,mae,11,0.05,18.689234,18.043642
0,mae,11,0.075,19.962616,16.677126
0,mae,11,0.1,20.43322,15.463452
0,mae,11,0.15,20.866838,13.57806
0,mse,11,0.05,21.983356,20.068745
0,mse,11,0.075,25.127077,18.25704
0,mse,11,0.1,26.781128,15.661386
0,mse,11,0.15,28.672749,12.330318
0,mae,12,0.05,18.361416,17.800293
0,mae,12,0.075,19.890316,16.475952
0,mae,12,0.1,20.481129,15.685259
0,mae,12,0.15,21.348869,13.90147
0,mse,12,0.05,21.278637,20.900501
0,mse,12,0.075,25.019005,17.675531
0,mse,12,0.1,27.163673,16.358423
0,mse,12,0.15,29.732557,12.75552
0,mae,13,0.05,18.553709,17.700657
0,mae,13,0.075,19.815929,16.279652
0,mae,13,0.1,19.696005,15.335899
0,mae,13,0.15,20.77607,12.736441
0,mse,13,0.05,22.973053,19.48037
0,mse,13,0.075,26.163021,17.040592
0,mse,13,0.1,25.904375,15.494398
0,mse,13,0.15,29.220964,11.013805
0,mae,14,0.05,18.711149,18.131695
0,mae,14,0.075,18.785988,17.021683
0,mae,14,0.1,19.648029,15.762263
0,mae,14,0.15,20.228306,12.686726
0,mse,14,0.05,23.284134,19.902626
0,mse,14,0.075,23.150539,18.017128
0,mse,14,0.1,25.44945,15.829816
0,mse,14,0.15,26.370693,10.813104
0,mae,15,0.05,18.465563,18.870327
0,mae,15,0.075,19.502329,17.240101
0,mae,15,0.1,19.738602,15.563111
0,mae,15,0.15,19.835564,13.337297
0,mse,15,0.05,21.809105,21.173553
0,mse,15,0.075,24.130733,18.29863
0,mse,15,0.1,25.179203,15.3838
0,mse,15,0.15,26.399418,11.439035
0,mae,16,0.05,18.071836,19.03824
0,mae,16,0.075,19.713392,17.757118
0,mae,16,0.1,20.155371,16.217085
0,mae,16,0.15,20.216553,13.295285
0,mse,16,0.05,21.504677,21.558506
0,mse,16,0.075,25.134552,18.698483
0,mse,16,0.1,25.836973,16.262491
0,mse,16,0.15,26.67477,11.502506
0,mae,17,0.05,18.612007,18.961548
0,mae,17,0.075,19.905834,17.375282
0,mae,17,0.1,20.098381,15.462873
0,mae,17,0.15,19.595055,12.573656
0,mse,17,0.05,24.439713,21.469185
0,mse,17,0.075,28.027908,18.102116
0,mse,17,0.1,27.545475,15.040648
0,mse,17,0.15,25.649904,10.297349
0,mae,18,0.05,18.524078,18.34557
0,mae,18,0.075,19.350697,17.187508
0,mae,18,0.1,19.567764,15.38778
0,mae,18,0.15,19.190086,12.890311
0,mse,18,0.05,23.624844,20.300694
0,mse,18,0.075,24.560173,17.88217
0,mse,18,0.1,26.472521,14.718737
0,mse,18,0.15,24.891533,10.614349
0,mae,19,0.05,18.793163,18.67012
0,mae,19,0.075,19.639294,16.366373
0,mae,19,0.1,19.829586,14.859344
0,mae,19,0.15,20.129379,14.123116
0,mse,19,0.05,23.139671,20.543438
0,mse,19,0.075,25.109865,16.104555
0,mse,19,0.1,26.296726,13.606956
0,mse,19,0.15,27.794083,12.158175
0,mae,20,0.05,18.924227,18.258999
0,mae,20,0.075,19.398314,16.812935
0,mae,20,0.1,19.931755,15.338616
0,mae,20,0.15,20.429966,13.806042
0,mse,20,0.05,23.480343,19.951149
0,mse,20,0.075,24.70945,17.242735
0,mse,20,0.1,27.621178,14.742371
0,mse,20,0.15,28.45883,12.098719
0,mae,21,0.05,18.316492,19.086933
0,mae,21,0.075,19.102203,17.712688
0,mae,21,0.1,18.92687,16.226788
0,mae,21,0.15,20.106068,13.982952
0,mse,21,0.05,24.174253,21.630816
0,mse,21,0.075,25.823643,18.756145
0,mse,21,0.1,25.3932,16.125597
0,mse,21,0.15,27.994104,12.023991
0,mae,22,0.05,18.747963,19.018881
0,mae,22,0.075,20.263584,17.816673
0,mae,22,0.1,20.206608,17.61713
0,mae,22,0.15,21.577831,15.098766
0,mse,22,0.05,24.773726,21.320339
0,mse,22,0.075,28.902992,19.108709
0,mse,22,0.1,28.126793,18.977774
0,mse,22,0.15,30.616545,14.047071
0,mae,23,0.05,19.743858,18.155996
0,mae,23,0.075,20.418983,17.291542
0,mae,23,0.1,20.260489,16.478891
0,mae,23,0.15,20.380733,13.718095
0,mse,23,0.05,29.315941,20.64497
0,mse,23,0.075,30.028223,18.683187
0,mse,23,0.1,28.396873,17.073854
0,mse,23,0.15,28.167219,12.535301
1,mae,0,0.05,14.028791,19.296329
1,mae,0,0.075,15.614333,17.762661
1,mae,0,0.1,16.264488,17.159225
1,mae,0,0.15,16.33054,16.127226
1,mse,0,0.05,14.344584,24.222027
1,mse,0,0.075,17.795866,21.622272
1,mse,0,0.1,19.401466,20.076424
1,mse,0,0.15,19.40818,18.161499
1,mae,1,0.05,13.654787,18.98122
1,mae,1,0.075,14.198956,17.783316
1,mae,1,0.1,14.736722,16.769388
1,mae,1,0.15,17.214518,15.673329
1,mse,1,0.05,13.236257,23.48283
1,mse,1,0.075,14.586096,21.679398
1,mse,1,0.1,15.572533,19.297325
1,mse,1,0.15,20.542776,16.895226
1,mae,2,0.05,13.1898,18.851379
1,mae,2,0.075,14.683382,17.723448
