batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.000341,21.539347
0,mae,0,0.075,9.70339,22.039436
0,mae,0,0.1,10.281513,22.125343
0,mae,0,0.15,11.007891,22.697973
0,mse,0,0.05,5.212257,28.821466
0,mse,0,0.075,7.486645,29.753754
0,mse,0,0.1,8.194833,29.186844
0,mse,0,0.15,9.461013,30.663179
0,mae,1,0.05,6.826526,21.594275
0,mae,1,0.075,7.708463,22.75631
0,mae,1,0.1,9.618162,22.754555
0,mae,1,0.15,9.827316,23.084442
0,mse,1,0.05,3.66309,28.812855
0,mse,1,0.075,4.496452,31.281494
0,mse,1,0.1,6.696672,30.826115
0,mse,1,0.15,7.112135,31.734585
0,mae,2,0.05,8.254883,21.841282
0,mae,2,0.075,9.281335,22.418825
0,mae,2,0.1,10.281852,22.412546
0,mae,2,0.15,13.568191,22.826342
0,mse,2,0.05,5.636924,28.969749
0,mse,2,0.075,6.46109,30.403635
0,mse,2,0.1,7.911583,30.191425
0,mse,2,0.15,12.81684,31.000061
0,mae,3,0.05,7.408005,22.658907
0,mae,3,0.075,8.716599,22.535767
0,mae,3,0.1,9.693919,22.265331
0,mae,3,0.15,10.25046,22.961191
0,mse,3,0.05,4.260425,31.124172
0,mse,3,0.075,6.023559,30.606707
0,mse,3,0.1,7.389965,29.717661
0,mse,3,0.15,8.176022,31.27652
0,mae,4,0.05,6.993744,21.505823
0,mae,4,0.075,8.169883,21.815247
0,mae,4,0.1,9.203404,21.955549
0,mae,4,0.15,9.240068,22.841816
0,mse,4,0.05,3.630741,27.952374
0,mse,4,0.075,4.99241,27.831596
0,mse,4,0.1,5.973508,28.131842
0,mse,4,0.15,6.453563,30.009699
0,mae,5,0.05,7.13692,22.504715
0,mae,5,0.075,8.454357,22.558868
0,mae,5,0.1,10.097826,22.254333
0,mae,5,0.15,10.569033,22.699467
0,mse,5,0.05,3.90304,31.64073
0,mse,5,0.075,5.689089,31.192728
0,mse,5,0.1,7.861777,29.539993
0,mse,5,0.15,8.487267,30.072756
0,mae,6,0.05,6.422718,22.941015
0,mae,6,0.075,7.072587,23.364567
0,mae,6,0.1,8.686123,23.321632
0,mae,6,0.15,9.905004,23.975258
0,mse,6,0.05,4.113073,32.095337
0,mse,6,0.075,3.895722,32.708332
0,mse,6,0.1,6.542301,32.303734
0,mse,6,0.15,8.70683,34.04306
0,mae,7,0.05,7.312274,22.003403
0,mae,7,0.075,8.708731,23.005028
0,mae,7,0.1,10.002143,23.086159
0,mae,7,0.15,10.902527,23.862759
0,mse,7,0.05,4.385159,29.68026
0,mse,7,0.075,5.95293,31.653198
0,mse,7,0.1,7.149632,31.588718
0,mse,7,0.15,8.673396,33.07362
0,mae,8,0.05,7.226233,22.232561
0,mae,8,0.075,7.878864,23.106396
0,mae,8,0.1,8.780916,23.291973
0,mae,8,0.15,10.613398,23.392769
0,mse,8,0.05,4.012691,29.57156
0,mse,8,0.075,4.37781,30.924494
0,mse,8,0.1,5.36288,31.315483
0,mse,8,0.15,7.45123,31.049246
0,mae,9,0.05,7.482336,21.790373
0,mae,9,0.075,7.830481,21.753197
0,mae,9,0.1,9.431243,22.258354
0,mae,9,0.15,12.607802,22.166843
0,mse,9,0.05,4.6612,29.601427
0,mse,9,0.075,5.335785,29.161022
0,mse,9,0.1,6.72281,30.292856
0,mse,9,0.15,11.318583,29.205286
0,mae,10,0.05,7.546015,21.809753
0,mae,10,0.075,7.702718,22.494972
0,mae,10,0.1,8.226453,22.802641
0,mae,10,0.15,9.942619,22.370558
0,mse,10,0.05,4.369667,29.044222
0,mse,10,0.075,4.514821,30.696308
0,mse,10,0.1,4.974673,31.276615
0,mse,10,0.15,7.214496,29.78186
0,mae,11,0.05,8.542147,22.927061
0,mae,11,0.075,9.051855,22.906021
0,mae,11,0.1,9.650879,23.039635
0,mae,11,0.15,9.470355,23.818108
0,mse,11,0.05,5.713249,32.128567
0,mse,11,0.075,6.213274,31.620283
0,mse,11,0.1,6.639688,32.038197
0,mse,11,0.15,6.178724,33.8442
0,mae,12,0.05,6.215067,22.442886
0,mae,12,0.075,6.934698,22.668924
0,mae,12,0.1,8.085134,23.298784
0,mae,12,0.15,8.572006,23.980484
0,mse,12,0.05,3.397462,30.501509
0,mse,12,0.075,3.961127,31.098328
0,mse,12,0.1,5.105297,32.209915
0,mse,12,0.15,5.666853,33.173176
0,mae,13,0.05,6.618345,21.791395
0,mae,13,0.075,8.604303,22.030075
0,mae,13,0.1,10.299603,21.980738
0,mae,13,0.15,9.683464,22.485554
0,mse,13,0.05,3.856554,28.940269
0,mse,13,0.075,5.776769,28.95562
0,mse,13,0.1,7.837536,28.613701
